specimen,region,n_verts,deform_mag_mean,deform_mag_p95,deform_mag_max,edge_len_mean
Probolomyrmex_sp._CASENT0744993_processed.obj,head,2174,0.0017683188198134303,0.004966675117611884,0.014916838146746159,0.011096399277448654
Probolomyrmex_sp._CASENT0744993_processed.obj,antenna,362,0.005823132116347551,0.017249236535280942,0.028103245422244072,0.012670627795159817
Probolomyrmex_sp._CASENT0744993_processed.obj,mandible,379,0.0028889235109090805,0.007164053712040181,0.043944112956523895,0.012681301683187485
Probolomyrmex_sp._CASENT0744993_processed.obj,leg,3887,0.002926583867520094,0.00712934085167944,0.10035523772239685,0.011670629493892193
Probolomyrmex_sp._CASENT0744993_processed.obj,leg_distal,822,0.004154161084443331,0.011073136376217003,0.09387222677469254,0.012377406470477581
Procryptocerus_goeldii_CASENT0744067_processed.obj,body,2611,0.00588966766372323,0.014882741961628199,0.10502603650093079,0.02424737811088562
Procryptocerus_goeldii_CASENT0744067_processed.obj,head,2174,0.0026998950634151697,0.007312463386915622,0.0652187243103981,0.016483310610055923
Procryptocerus_goeldii_CASENT0744067_processed.obj,antenna,362,0.009887083433568478,0.021767327841371285,0.10995961725711823,0.03134644031524658
Procryptocerus_goeldii_CASENT0744067_processed.obj,mandible,379,0.012326167896389961,0.03208872005343436,0.07424008846282959,0.042880307883024216
Procryptocerus_goeldii_CASENT0744067_processed.obj,leg,3887,0.007334048394113779,0.019285265356302254,0.1940363198518753,0.02351061999797821
Procryptocerus_goeldii_CASENT0744067_processed.obj,leg_distal,822,0.01063910499215126,0.031408752966672164,0.12349218875169754,0.03203210607171059
Procryptocerus_hirsutus_CASENT0744064_processed.obj,body,2611,0.005401700735092163,0.01681389380246401,0.07281377166509628,0.02121695689857006
Procryptocerus_hirsutus_CASENT0744064_processed.obj,head,2174,0.0024317712523043156,0.005682373489253222,0.04643122851848602,0.014710994437336922
Procryptocerus_hirsutus_CASENT0744064_processed.obj,antenna,362,0.005112746264785528,0.012408479955047368,0.05585101991891861,0.018291639164090157
Procryptocerus_hirsutus_CASENT0744064_processed.obj,mandible,379,0.0039010995533317327,0.00957588972523808,0.08325778692960739,0.019231732934713364
Procryptocerus_hirsutus_CASENT0744064_processed.obj,leg,3887,0.0037506537046283484,0.009284580871462821,0.08915511518716812,0.014963933266699314
Procryptocerus_hirsutus_CASENT0744064_processed.obj,leg_distal,822,0.0036640134640038013,0.009931332431733605,0.07510793209075928,0.014073195867240429
Protalaridris_armata_CASENT0745595_processed.obj,body,2611,0.0028874988202005625,0.00648796116001904,0.06607559323310852,0.02062097378075123
Protalaridris_armata_CASENT0745595_processed.obj,head,2174,0.0024976124987006187,0.006261635944247245,0.03819042071700096,0.016320765018463135
Protalaridris_armata_CASENT0745595_processed.obj,antenna,362,0.006021470762789249,0.014616153528913852,0.06801030039787292,0.0167450699955225
Protalaridris_armata_CASENT0745595_processed.obj,mandible,379,0.005061852280050516,0.011439144052565093,0.14816612005233765,0.02154858410358429
Protalaridris_armata_CASENT0745595_processed.obj,leg,3887,0.003122989321127534,0.007880154345184558,0.07934747636318207,0.01457971055060625
Protalaridris_armata_CASENT0745595_processed.obj,leg_distal,822,0.0040704552084207535,0.010313054220750925,0.04302111640572548,0.013079467229545116
